epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2248,1.30149,1.96868,1.42893,0.29549,0.46662,0.19018,0.08773,1.71197,16.3307,2.54536,0.00032,0.00032,0.00032
2,9.4718,1.36104,1.27333,1.40631,0,0,0,0,nan,nan,nan,0.000653466,0.000653466,0.000653466
3,17.0172,1.5705,1.43448,1.50075,0,0,0,0,nan,nan,nan,0.0009802,0.0009802,0.0009802
4,24.1233,1.55933,1.40491,1.51418,0,0,0,0,nan,nan,nan,0.0013002,0.0013002,0.0013002
5,31.1856,1.53254,1.36266,1.48233,0,0,0,0,nan,nan,nan,0.00161347,0.00161347,0.00161347
6,38.5119,1.55737,1.38316,1.50503,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
7,45.6771,1.60924,1.43238,1.53697,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,52.9233,1.53647,1.39486,1.48917,0.00333,0.00417,0.00167,0.00033,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,60.3176,1.49141,1.27289,1.43398,0.1806,0.45417,0.16147,0.05913,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,67.5264,1.45132,1.27431,1.41516,0.21092,0.17917,0.09465,0.03629,2.99001,9.03236,3.14178,0.0018218,0.0018218,0.0018218
11,74.7227,1.38068,1.19969,1.38706,0.3027,0.31834,0.21771,0.09836,nan,nan,nan,0.001802,0.001802,0.001802
12,84.7672,1.35442,1.18135,1.38184,0.54441,0.4,0.39993,0.19343,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,94.7489,1.35627,1.1571,1.37104,0.47147,0.38333,0.34577,0.18363,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,101.958,1.32943,1.11852,1.34915,0.41432,0.49814,0.37663,0.20546,1.56582,4.33509,1.75255,0.0017426,0.0017426,0.0017426
15,111.759,1.28929,1.10974,1.32868,0.63312,0.56804,0.57295,0.34636,1.46383,2.54281,1.72885,0.0017228,0.0017228,0.0017228
16,121.776,1.26303,1.05702,1.33594,0.61352,0.60417,0.61313,0.37331,1.35137,3.76346,1.53679,0.001703,0.001703,0.001703
17,131.633,1.24925,1.06806,1.32564,0.58714,0.47083,0.49357,0.25202,1.75643,3.40719,1.87463,0.0016832,0.0016832,0.0016832
18,138.859,1.26789,1.06644,1.32548,0.71135,0.5875,0.61499,0.41506,1.37587,1.73187,1.62716,0.0016634,0.0016634,0.0016634
19,148.539,1.19942,1.03706,1.28506,0.64224,0.56667,0.59731,0.39494,1.39152,2.11992,1.56877,0.0016436,0.0016436,0.0016436
20,155.688,1.18535,0.98629,1.26132,0.72041,0.64583,0.67973,0.45853,1.14891,1.53324,1.37602,0.0016238,0.0016238,0.0016238
21,165.647,1.18459,0.96745,1.27733,0.76424,0.59432,0.69992,0.44557,1.3434,1.57681,1.57745,0.001604,0.001604,0.001604
22,172.97,1.16226,0.93681,1.23547,0.7433,0.64167,0.68945,0.45757,1.24513,1.79188,1.40871,0.0015842,0.0015842,0.0015842
23,182.665,1.16469,0.91467,1.24123,0.70382,0.65833,0.68156,0.45306,1.23687,1.51012,1.39213,0.0015644,0.0015644,0.0015644
24,189.89,1.16044,0.95339,1.24522,0.58547,0.61667,0.59681,0.38681,1.3108,2.28963,1.47451,0.0015446,0.0015446,0.0015446
25,197.163,1.17013,0.96345,1.24769,0.66368,0.6,0.61905,0.39003,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,204.289,1.11779,0.91366,1.22418,0.66047,0.67083,0.67509,0.46427,nan,nan,nan,0.001505,0.001505,0.001505
27,213.9,1.11102,0.86166,1.21937,0.75727,0.67596,0.7379,0.51619,1.10257,1.22117,1.21992,0.0014852,0.0014852,0.0014852
28,223.892,1.05294,0.84179,1.19383,0.76676,0.65747,0.70989,0.48195,1.14468,1.15211,1.27418,0.0014654,0.0014654,0.0014654
29,231.14,1.05594,0.83748,1.20318,0.79268,0.68333,0.72753,0.51027,1.21884,1.25697,1.3326,0.0014456,0.0014456,0.0014456
30,238.392,1.07526,0.85354,1.19758,0.71693,0.61667,0.68764,0.44212,1.28915,1.34303,1.36769,0.0014258,0.0014258,0.0014258
31,245.533,1.06215,0.84211,1.19007,0.76036,0.68333,0.75965,0.52738,1.1633,1.6064,1.33431,0.001406,0.001406,0.001406
32,255.18,1.03221,0.83121,1.17985,0.72016,0.64339,0.70182,0.47586,1.19708,1.17399,1.33436,0.0013862,0.0013862,0.0013862
33,262.3,1.06751,0.80354,1.1801,0.75826,0.70575,0.75075,0.51122,1.10769,1.19104,1.27053,0.0013664,0.0013664,0.0013664
34,269.647,1.03023,0.75007,1.16918,0.78444,0.70417,0.73845,0.48845,1.29025,1.29725,1.48181,0.0013466,0.0013466,0.0013466
35,276.738,1.01176,0.80173,1.17368,0.86064,0.7,0.80597,0.57072,1.0537,0.79595,1.26031,0.0013268,0.0013268,0.0013268
36,286.285,0.96803,0.77773,1.17425,0.8599,0.73333,0.80809,0.56018,1.10171,0.88566,1.20236,0.001307,0.001307,0.001307
37,293.404,0.99068,0.78553,1.17498,0.83804,0.65833,0.75598,0.53419,1.11218,0.88254,1.23738,0.0012872,0.0012872,0.0012872
38,300.775,0.98315,0.7586,1.16954,0.89763,0.75417,0.83763,0.5918,1.07655,0.8265,1.24797,0.0012674,0.0012674,0.0012674
39,310.532,0.97523,0.72991,1.14295,0.79605,0.71559,0.77012,0.56305,1.09573,0.99798,1.28264,0.0012476,0.0012476,0.0012476
40,317.735,0.97995,0.708,1.16042,0.86857,0.71595,0.80698,0.55497,1.06111,0.87696,1.22876,0.0012278,0.0012278,0.0012278
41,325.214,0.95366,0.72325,1.13826,0.74403,0.73881,0.75374,0.52908,1.08259,1.13473,1.28767,0.001208,0.001208,0.001208
42,332.459,0.95487,0.70702,1.14643,0.78507,0.77619,0.80735,0.5754,1.06235,0.85851,1.27944,0.0011882,0.0011882,0.0011882
43,339.456,0.95324,0.72507,1.13423,0.81022,0.74583,0.79997,0.56327,1.01653,0.97774,1.18214,0.0011684,0.0011684,0.0011684
44,346.749,0.97496,0.73048,1.13914,0.79869,0.7125,0.78308,0.54676,1.05079,0.90554,1.2574,0.0011486,0.0011486,0.0011486
45,353.857,0.9295,0.68833,1.11601,0.82112,0.70769,0.78029,0.55525,1.06357,0.80608,1.24808,0.0011288,0.0011288,0.0011288
46,361.074,0.96127,0.71088,1.13898,0.82076,0.74411,0.81271,0.6024,0.91624,0.88863,1.10568,0.001109,0.001109,0.001109
47,370.937,0.94312,0.68478,1.1198,0.83571,0.76667,0.81376,0.58228,1.06226,0.73621,1.31673,0.0010892,0.0010892,0.0010892
48,378.131,0.90824,0.66462,1.10502,0.83938,0.76667,0.81614,0.59416,0.97807,0.79543,1.15497,0.0010694,0.0010694,0.0010694
49,385.318,0.89639,0.66412,1.10596,0.80434,0.82217,0.84665,0.59101,1.14814,0.81627,1.37087,0.0010496,0.0010496,0.0010496
50,392.744,0.8998,0.67836,1.11647,0.78389,0.75833,0.77827,0.56142,1.12428,1.01526,1.31768,0.0010298,0.0010298,0.0010298
51,399.953,0.88478,0.63532,1.09723,0.87082,0.78648,0.8474,0.62128,1.05093,0.69216,1.22129,0.00101,0.00101,0.00101
52,409.771,0.91053,0.63421,1.10297,0.85417,0.73218,0.80543,0.58452,1.00453,0.91435,1.17426,0.0009902,0.0009902,0.0009902
53,416.979,0.88139,0.62704,1.1011,0.79227,0.7875,0.82712,0.59018,1.05994,0.74347,1.27629,0.0009704,0.0009704,0.0009704
54,424.286,0.87389,0.62628,1.09325,0.86878,0.79167,0.82783,0.60436,1.01387,0.80071,1.25006,0.0009506,0.0009506,0.0009506
55,431.438,0.8855,0.61299,1.08564,0.88254,0.7875,0.82981,0.60688,0.93703,0.86331,1.11681,0.0009308,0.0009308,0.0009308
56,438.534,0.83878,0.61025,1.0694,0.84044,0.79006,0.81653,0.61623,0.95576,0.80882,1.16866,0.000911,0.000911,0.000911
57,445.932,0.86343,0.57854,1.07628,0.8755,0.73253,0.8003,0.57567,1.02896,0.69236,1.27211,0.0008912,0.0008912,0.0008912
