epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2064.06,0.75396,1.18362,1.13506,0.64571,0.69225,0.70596,0.60284,0.55731,0.79838,1.01012,0.00333278,0.00333278,0.00333278
2,4069.48,0.80365,1.10004,1.13893,0.68843,0.71709,0.74583,0.64923,0.52189,0.71278,0.99558,0.00660012,0.00660012,0.00660012
3,6233.92,0.85384,1.16174,1.16921,0.66545,0.72391,0.73413,0.63248,0.54338,0.73186,1.01624,0.00980146,0.00980146,0.00980146
4,8298.1,0.8361,1.13397,1.15696,0.67266,0.72334,0.74149,0.64251,0.53496,0.72337,1.00769,0.009703,0.009703,0.009703
5,10467.5,0.77848,1.05329,1.12245,0.68393,0.7345,0.75276,0.65658,0.52315,0.70541,0.99934,0.009604,0.009604,0.009604
6,12637.3,0.75463,1.01642,1.10806,0.69181,0.73665,0.75767,0.66322,0.51513,0.69587,0.99338,0.009505,0.009505,0.009505
7,14750.3,0.73869,0.99574,1.09837,0.69421,0.73929,0.76305,0.67011,0.50842,0.6853,0.98824,0.009406,0.009406,0.009406
8,16855.8,0.73101,0.98002,1.09428,0.69977,0.74203,0.76915,0.67737,0.50072,0.67257,0.9827,0.009307,0.009307,0.009307
9,18960.9,0.72244,0.96638,1.08876,0.70252,0.74934,0.77447,0.68423,0.49394,0.66119,0.97763,0.009208,0.009208,0.009208
10,21062.7,0.71619,0.96166,1.08543,0.70237,0.75664,0.77908,0.69063,0.48776,0.651,0.97342,0.009109,0.009109,0.009109
11,23163.8,0.71363,0.9519,1.08359,0.70946,0.75536,0.78303,0.69596,0.4818,0.6426,0.96936,0.00901,0.00901,0.00901
12,25265.6,0.70842,0.94711,1.07966,0.7118,0.76267,0.78739,0.70102,0.47685,0.6348,0.96582,0.008911,0.008911,0.008911
13,27366.4,0.70636,0.94018,1.07884,0.71745,0.76332,0.79098,0.70563,0.47278,0.62855,0.96287,0.008812,0.008812,0.008812
14,29467.5,0.70549,0.9394,1.07885,0.72492,0.75823,0.79295,0.70847,0.47016,0.62455,0.9612,0.008713,0.008713,0.008713
15,31566.4,0.70208,0.93295,1.07641,0.72496,0.76374,0.79501,0.71073,0.46763,0.62084,0.95928,0.008614,0.008614,0.008614
16,33666.9,0.69991,0.92851,1.0739,0.72624,0.7671,0.79662,0.71263,0.46573,0.61809,0.95772,0.008515,0.008515,0.008515
17,35769.5,0.69711,0.92626,1.07284,0.72722,0.76828,0.79816,0.71455,0.46379,0.61532,0.95631,0.008416,0.008416,0.008416
18,37871.8,0.69639,0.92231,1.0722,0.72167,0.77502,0.79902,0.71564,0.462,0.61309,0.9555,0.008317,0.008317,0.008317
19,39972,0.69401,0.91799,1.07124,0.72374,0.77587,0.80038,0.71719,0.46054,0.61135,0.95452,0.008218,0.008218,0.008218
20,42072.3,0.69335,0.91508,1.07029,0.73221,0.76938,0.80188,0.71908,0.45958,0.60897,0.95344,0.008119,0.008119,0.008119
21,44170.3,0.69118,0.91286,1.0689,0.73211,0.76922,0.80314,0.72054,0.45828,0.60712,0.95274,0.00802,0.00802,0.00802
22,46268.7,0.69028,0.911,1.06818,0.73223,0.77268,0.80391,0.7214,0.45782,0.60564,0.95194,0.007921,0.007921,0.007921
23,48364.6,0.68783,0.90665,1.06704,0.73391,0.77324,0.80524,0.7226,0.45708,0.60396,0.95166,0.007822,0.007822,0.007822
24,50462.3,0.68479,0.90372,1.06534,0.73153,0.77944,0.80539,0.72322,0.45608,0.60325,0.95094,0.007723,0.007723,0.007723
25,52563.6,0.68442,0.90229,1.06472,0.72803,0.78356,0.80613,0.7241,0.45505,0.60147,0.95014,0.007624,0.007624,0.007624
26,54561.6,0.68424,0.89756,1.06325,0.7267,0.78512,0.80638,0.72447,0.45484,0.60009,0.94974,0.007525,0.007525,0.007525
27,56954,0.68175,0.89477,1.06309,0.73152,0.78086,0.8074,0.72572,0.45416,0.59875,0.94936,0.007426,0.007426,0.007426
28,3420.55,0.67096,0.88078,1.05771,0.73361,0.78257,0.80842,0.72707,0.45234,0.59662,0.94804,0.007327,0.007327,0.007327
29,5323.11,0.67763,0.8923,1.06094,0.73549,0.78177,0.80865,0.72749,0.45088,0.59633,0.94695,0.007228,0.007228,0.007228
30,7228.55,0.67901,0.89306,1.06074,0.73285,0.78448,0.80885,0.72818,0.45044,0.59584,0.9469,0.007129,0.007129,0.007129
31,9131.88,0.67652,0.8887,1.06055,0.73443,0.7819,0.8089,0.72847,0.45032,0.59631,0.94707,0.00703,0.00703,0.00703
32,11031.4,0.67426,0.88829,1.05928,0.73589,0.78275,0.8095,0.72907,0.45017,0.59531,0.94701,0.006931,0.006931,0.006931
33,12936,0.6739,0.88513,1.05957,0.73293,0.78671,0.80915,0.72906,0.44983,0.59445,0.94691,0.006832,0.006832,0.006832
34,14835.4,0.6726,0.88365,1.05831,0.73548,0.78572,0.81036,0.73029,0.44964,0.59332,0.94659,0.006733,0.006733,0.006733
35,16736,0.67206,0.87878,1.05785,0.73866,0.78408,0.81124,0.73133,0.44922,0.59242,0.94617,0.006634,0.006634,0.006634
36,18640.7,0.67066,0.8754,1.05649,0.73912,0.78592,0.81193,0.7317,0.44911,0.59203,0.94605,0.006535,0.006535,0.006535
37,20545.8,0.66932,0.8773,1.05583,0.7334,0.79073,0.81275,0.73274,0.44867,0.59136,0.94549,0.006436,0.006436,0.006436
38,22447.7,0.6682,0.87214,1.05506,0.73512,0.78905,0.81251,0.73271,0.44786,0.59198,0.94501,0.006337,0.006337,0.006337
39,24349.6,0.66518,0.8698,1.0544,0.73287,0.79091,0.81225,0.73318,0.44776,0.59232,0.94495,0.006238,0.006238,0.006238
40,26251.2,0.6656,0.86788,1.05306,0.73504,0.79047,0.81247,0.73325,0.44768,0.59109,0.94446,0.006139,0.006139,0.006139
41,28158.1,0.66617,0.86705,1.05402,0.73277,0.79207,0.81347,0.73429,0.44782,0.59063,0.94439,0.00604,0.00604,0.00604
42,29967.4,0.66227,0.86212,1.05225,0.73771,0.78816,0.81416,0.73483,0.44749,0.58958,0.94433,0.005941,0.005941,0.005941
43,31740.5,0.66129,0.86086,1.05132,0.73608,0.78953,0.81484,0.73584,0.44699,0.58858,0.94422,0.005842,0.005842,0.005842
44,33511.9,0.66008,0.85879,1.0508,0.73528,0.79066,0.81599,0.737,0.44639,0.58807,0.94362,0.005743,0.005743,0.005743
45,35281.9,0.65902,0.85566,1.04945,0.73753,0.78947,0.81649,0.7378,0.4457,0.58664,0.94282,0.005644,0.005644,0.005644
46,37053.4,0.65566,0.84984,1.0488,0.73622,0.79054,0.81706,0.73878,0.44491,0.58536,0.94252,0.005545,0.005545,0.005545
47,38823.9,0.65466,0.84758,1.04766,0.73509,0.79372,0.81786,0.73936,0.44398,0.58355,0.94179,0.005446,0.005446,0.005446
48,40594,0.65296,0.84571,1.0461,0.73797,0.79215,0.81805,0.73965,0.44349,0.58324,0.94124,0.005347,0.005347,0.005347
49,42365.7,0.65231,0.84446,1.0471,0.73887,0.79396,0.81799,0.74013,0.44298,0.58249,0.94117,0.005248,0.005248,0.005248
50,44137,0.65025,0.83958,1.04584,0.73691,0.79677,0.81885,0.74123,0.44234,0.58145,0.94086,0.005149,0.005149,0.005149
51,45908.6,0.64755,0.8355,1.04325,0.73799,0.79548,0.81931,0.74173,0.44184,0.58127,0.94059,0.00505,0.00505,0.00505
52,47681.3,0.64755,0.83568,1.04351,0.73726,0.79784,0.81994,0.74262,0.44095,0.58004,0.93987,0.004951,0.004951,0.004951
53,49451.7,0.64539,0.82914,1.04143,0.74027,0.79698,0.82089,0.74356,0.44068,0.57897,0.93959,0.004852,0.004852,0.004852
54,51222.2,0.64374,0.82731,1.04197,0.74278,0.79524,0.82154,0.74463,0.44012,0.57758,0.93926,0.004753,0.004753,0.004753
55,52991.6,0.64372,0.82558,1.04172,0.74298,0.79531,0.82159,0.74473,0.43964,0.57758,0.93888,0.004654,0.004654,0.004654
56,54760.9,0.64246,0.82372,1.04082,0.74129,0.79759,0.82149,0.74489,0.43892,0.57771,0.93842,0.004555,0.004555,0.004555
57,56568,0.63873,0.81674,1.03944,0.73932,0.79946,0.8215,0.74498,0.43846,0.57717,0.93825,0.004456,0.004456,0.004456
58,58394.2,0.63685,0.81389,1.03743,0.74004,0.80062,0.82248,0.74574,0.43879,0.57602,0.93814,0.004357,0.004357,0.004357
