epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8816,1.52332,1.70637,1.637,0,0,0,0,nan,nan,nan,0.000647619,0.000647619,0.000647619
2,42.7454,1.78196,1.78054,1.80263,0,0,0,0,nan,nan,nan,0.00128826,0.00128826,0.00128826
3,60.9183,1.69628,1.60893,1.74401,0,0,0,0,nan,nan,nan,0.00190251,0.00190251,0.00190251
4,78.7409,1.67794,1.63422,1.72489,0.15532,0.01449,0.0118,0.00449,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,96.4354,1.52779,1.45366,1.62107,0.02486,0.07826,0.00456,0.00145,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,111.933,1.48244,1.42241,1.60168,0.57004,0.56522,0.52603,0.24551,1.98497,2.01885,3.25031,0.001802,0.001802,0.001802
7,129.902,1.44291,1.38176,1.56502,0.1852,0.24058,0.09565,0.0269,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,145.433,1.40178,1.33807,1.5372,0.15387,0.10435,0.04577,0.01172,3.8844,4.53189,4.54407,0.0017228,0.0017228,0.0017228
9,160.736,1.36534,1.30766,1.4917,0.74264,0.57391,0.6265,0.34426,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,179.02,1.38531,1.29849,1.5081,0.64937,0.54493,0.59283,0.31508,1.70794,2.00033,2.12085,0.0016436,0.0016436,0.0016436
11,195.119,1.35353,1.27436,1.48813,0.66615,0.66087,0.71387,0.44867,1.33358,1.2737,1.71304,0.001604,0.001604,0.001604
12,213.304,1.31108,1.19722,1.45754,0.6857,0.5942,0.65033,0.39891,1.55029,1.39247,1.96292,0.0015644,0.0015644,0.0015644
13,229.068,1.25609,1.14908,1.41147,0.76286,0.66957,0.73425,0.49375,1.21987,1.21274,1.6249,0.0015248,0.0015248,0.0015248
14,247.391,1.29581,1.22678,1.44082,0.80431,0.6029,0.73077,0.46643,1.28563,1.24045,1.66993,0.0014852,0.0014852,0.0014852
15,263.021,1.23138,1.15641,1.42866,0.78,0.70911,0.77532,0.50681,1.25326,1.10342,1.6685,0.0014456,0.0014456,0.0014456
16,281.052,1.26386,1.12593,1.42783,0.87338,0.66957,0.78779,0.54851,1.1482,0.98322,1.52626,0.001406,0.001406,0.001406
17,299.263,1.20176,1.11568,1.3931,0.82718,0.63768,0.74926,0.49704,1.27505,1.07724,1.64115,0.0013664,0.0013664,0.0013664
18,314.595,1.21119,1.09342,1.40688,0.75806,0.61739,0.67724,0.45136,1.22679,1.46087,1.61657,0.0013268,0.0013268,0.0013268
19,330.543,1.20487,1.10053,1.39175,0.73581,0.68619,0.74854,0.48398,1.25028,1.10882,1.55268,0.0012872,0.0012872,0.0012872
20,346.276,1.1812,1.05489,1.38495,0.83348,0.66087,0.78487,0.53271,1.15141,1.06969,1.54547,0.0012476,0.0012476,0.0012476
21,361.954,1.206,1.07431,1.39296,0.76241,0.67246,0.75081,0.4855,1.24613,1.1703,1.57987,0.001208,0.001208,0.001208
22,378.072,1.12828,1.01307,1.35683,0.81422,0.72754,0.80729,0.56285,1.08367,0.94637,1.45416,0.0011684,0.0011684,0.0011684
23,396.233,1.17104,1.02591,1.35903,0.7849,0.56232,0.67705,0.41615,1.36141,1.2686,1.68112,0.0011288,0.0011288,0.0011288
24,411.658,1.16408,1.00996,1.36263,0.85928,0.70795,0.81466,0.54509,1.17715,0.92769,1.56304,0.0010892,0.0010892,0.0010892
25,427.18,1.13744,1.02142,1.35429,0.84571,0.70725,0.80452,0.57881,1.03503,1.00978,1.42827,0.0010496,0.0010496,0.0010496
26,445.408,1.1131,1.00387,1.31865,0.8665,0.71489,0.83175,0.59505,1.0565,0.84,1.46096,0.00101,0.00101,0.00101
